qed,SAS,logP,src,rings,weight,csp3,hallkier,laputeASA,alicarbo,alihetero,alirings,amidebonds,arocarbo,arohetero,arorings,stereocenter,bridgehead,hba,hbd,rotatable
0.8041713,4.4144845,2.5482392,0,4,232.103419512,0.6153846153846154,-0.6700000000000002,99.78360120565712,1,2,3,0,0,1,1,4,2,3,1,0
0.7584233,3.2883284,2.4318514,0,3,310.936409532,0.1,-1.47,108.22917330986985,0,1,1,0,0,2,2,0,0,6,2,0
0.82422143,3.804837,2.3840432,0,2,221.177964356,0.7142857142857143,-0.6,98.22675459276722,2,0,2,0,0,0,0,3,0,2,2,1
0.81005293,5.028053,2.8223982,0,6,211.136099544,0.7333333333333333,-0.56,96.19408131404151,4,2,6,0,0,0,0,7,0,1,0,0
0.7740228,4.388532,1.7819121,0,3,206.094294308,0.5833333333333334,-1.09,88.4262158429827,2,1,3,0,0,0,0,3,0,2,1,1
0.80392456,4.1901183,1.8830334,0,3,241.113649848,0.8333333333333334,-0.3500000000000001,97.43174984541025,0,3,3,0,0,0,0,6,0,3,0,0
0.7446234,3.5032978,2.422248,0,4,216.089877624,0.4166666666666667,-1.71,92.81665354103015,1,1,2,0,0,2,2,1,0,4,0,1
0.75954413,2.893377,0.8096741,0,2,247.041547528,0.09090909090909091,-2.2600000000000002,100.28595118855165,0,0,0,0,0,2,2,0,0,6,3,0
0.81753975,4.1676025,2.2329051,0,3,241.113649848,0.8333333333333334,-0.51,97.43174984541025,2,1,3,0,0,0,0,2,2,3,0,1
0.80608004,4.514241,2.4764967,0,4,249.08234972,0.5384615384615384,-1.03,101.54703225253759,2,2,4,0,0,0,0,3,0,2,0,0
0.7705794,3.7117352,0.8377019,0,3,253.052112212,0.5,-1.6299999999999997,101.80923408204384,0,2,2,0,0,1,1,1,2,7,1,0
0.8232299,3.3746784,2.6968756,0,3,251.14969892,1.0,-0.29000000000000004,99.58265412371652,1,2,3,0,0,0,0,4,2,2,2,1
0.7809952,3.058894,0.4049032,0,2,240.099773612,0.75,-1.07,99.45360873827886,0,2,2,0,0,0,0,2,2,5,0,0
0.7924871,4.342935,1.6281062,0,4,213.078978592,0.38461538461538464,-1.66,93.59398865118749,2,2,4,0,0,0,0,3,2,3,1,0
0.7745141,3.9893208,1.7823241,0,3,205.146664228,0.6923076923076923,-0.6000000000000001,90.85598132484138,3,0,3,0,0,0,0,5,0,2,2,0
0.7993753,4.89267,2.3345132,0,4,213.151749608,0.7333333333333333,-0.74,97.68460055854818,3,1,4,0,0,0,0,6,0,1,1,0
0.78245735,4.8025947,2.1215427,0,4,197.12044948,0.5714285714285714,-1.0,90.84002689856267,2,2,4,0,0,0,0,5,0,1,0,0
0.78775126,4.790479,2.0037384,0,3,249.08234972,0.5384615384615384,-1.05,101.89634283288655,1,2,3,0,0,0,0,3,2,3,1,0
0.8001726,3.4474256,1.8565058,0,3,238.131742436,0.75,-1.2299999999999998,99.80788308080072,1,1,2,0,0,1,1,3,0,5,3,0
0.79243433,3.4798265,1.9527386,0,3,232.019415116,0.16666666666666666,-1.6799999999999997,95.68256980878435,1,1,2,0,0,1,1,1,0,4,0,0
0.84039694,3.7710495,2.56811,0,3,239.18852904,1.0,-0.12,103.9236462197087,0,3,3,0,0,0,0,7,4,3,2,0
0.8084345,3.969739,2.069521,0,3,214.110613068,0.46153846153846156,-1.6899999999999997,94.88959151595199,1,1,2,0,0,1,1,3,0,2,1,0
0.79256916,3.30435,1.6093364,0,2,237.18411235599999,0.8461538461538461,-1.06,102.98570201393734,1,1,2,0,0,0,0,2,0,4,2,0
0.8286396,4.056187,2.1610456,0,4,217.146664228,0.7142857142857143,-0.78,97.11972334987681,2,2,4,0,0,0,0,7,4,2,2,0
0.81764853,3.7784045,2.2328224,0,2,243.147058152,0.9166666666666666,-0.6499999999999999,102.09145538302141,0,2,2,0,0,0,0,2,2,5,0,0
0.80320543,3.8804095,2.1164887,0,3,188.120115132,0.6923076923076923,-0.9199999999999999,85.89957862944493,3,0,3,0,0,0,0,5,2,1,1,1
0.8098287,4.55522,2.2370682,0,3,219.125928784,0.6153846153846154,-1.09,95.31498685660031,2,1,3,0,0,0,0,3,0,3,2,0
0.85269535,3.971861,2.5684614,0,3,237.209264484,1.0,-0.08,104.9650716180031,3,0,3,0,0,0,0,7,4,2,2,1
0.78598475,4.5206227,3.4816623,0,5,215.167399672,0.7333333333333333,-0.56,97.99577213450465,4,1,5,0,0,0,0,6,4,1,1,0
